brand,processor_brand,ram_gb,ssd,hdd,os_bit,Touchscreen,Price
DELL,Intel,8 GB,0 GB,1024 GB,64-bit,No,42190
DELL,Intel,8 GB,0 GB,1024 GB,64-bit,No,39490
HP,Intel,8 GB,0 GB,1024 GB,64-bit,No,43690
ASUS,Intel,4 GB,0 GB,1024 GB,64-bit,No,35990
DELL,Intel,8 GB,0 GB,1024 GB,32-bit,No,43800
Lenovo,Intel,8 GB,0 GB,1024 GB,32-bit,No,38990
ASUS,Intel,4 GB,0 GB,1024 GB,64-bit,No,34990
ASUS,Intel,8 GB,0 GB,1024 GB,64-bit,No,38900
DELL,Intel,4 GB,0 GB,1024 GB,64-bit,No,39990
DELL,Intel,4 GB,0 GB,1024 GB,32-bit,No,40890
Lenovo,Intel,4 GB,0 GB,1024 GB,64-bit,No,36990
HP,Intel,4 GB,0 GB,1024 GB,64-bit,No,39990
HP,Intel,4 GB,0 GB,1024 GB,64-bit,No,41990
DELL,Intel,4 GB,0 GB,1024 GB,32-bit,No,43970
HP,Intel,4 GB,0 GB,1024 GB,64-bit,No,39790
ASUS,Intel,4 GB,0 GB,1024 GB,32-bit,No,35590
HP,Intel,4 GB,0 GB,1024 GB,64-bit,No,36490
ASUS,Intel,4 GB,0 GB,1024 GB,64-bit,No,38990
ASUS,Intel,4 GB,0 GB,1024 GB,32-bit,No,33990
DELL,Intel,4 GB,0 GB,1024 GB,64-bit,No,43400
ASUS,Intel,4 GB,0 GB,512 GB,32-bit,No,24990
HP,Intel,4 GB,0 GB,1024 GB,64-bit,No,40750
DELL,Intel,4 GB,0 GB,1024 GB,64-bit,No,43000
ASUS,Intel,4 GB,0 GB,1024 GB,64-bit,No,38000
DELL,Intel,8 GB,0 GB,1024 GB,64-bit,No,37990
HP,Intel,8 GB,0 GB,1024 GB,64-bit,No,49279
Lenovo,Intel,8 GB,0 GB,1024 GB,32-bit,No,38999
ASUS,Intel,8 GB,0 GB,1024 GB,32-bit,No,41500
acer,Intel,4 GB,0 GB,1024 GB,32-bit,No,36999
DELL,Intel,8 GB,0 GB,1024 GB,32-bit,No,42900
ASUS,Intel,4 GB,0 GB,512 GB,32-bit,No,21490
DELL,Intel,8 GB,0 GB,1024 GB,32-bit,No,41480
ASUS,Intel,8 GB,0 GB,1024 GB,64-bit,No,32990
ASUS,Intel,8 GB,0 GB,1024 GB,64-bit,No,38680
ASUS,Intel,4 GB,0 GB,512 GB,32-bit,No,23990
DELL,Intel,8 GB,0 GB,1024 GB,64-bit,No,40390
ASUS,Intel,4 GB,0 GB,1024 GB,64-bit,No,33990
ASUS,Intel,4 GB,0 GB,512 GB,32-bit,No,20490
DELL,Intel,8 GB,256 GB,1024 GB,64-bit,No,41490
DELL,Intel,8 GB,256 GB,1024 GB,64-bit,No,45490
DELL,Intel,8 GB,256 GB,1024 GB,64-bit,No,44490
ASUS,Intel,8 GB,256 GB,1024 GB,64-bit,No,41890
DELL,Intel,4 GB,256 GB,1024 GB,64-bit,No,42990
acer,Intel,8 GB,256 GB,1024 GB,64-bit,No,40990
DELL,Intel,8 GB,256 GB,1024 GB,64-bit,No,48990
DELL,Intel,4 GB,256 GB,1024 GB,64-bit,No,43590
DELL,Intel,4 GB,256 GB,1024 GB,64-bit,No,44690
ASUS,Intel,4 GB,256 GB,1024 GB,64-bit,No,40990
DELL,Intel,4 GB,256 GB,1024 GB,64-bit,No,43990
DELL,Intel,4 GB,256 GB,1024 GB,64-bit,No,43590
DELL,Intel,4 GB,256 GB,1024 GB,64-bit,No,41390
DELL,Intel,4 GB,256 GB,1024 GB,64-bit,No,44290
DELL,Intel,4 GB,256 GB,1024 GB,64-bit,No,48999
